id;author;author-aux;author-orcid;booktitle;cdate;cdrom;cite;cite-label;crossref;editor;editor-orcid;ee;ee-type;i;journal;key;mdate;month;note;note-type;number;pages;publisher;publtype;sub;sup;title;title-bibtex;tt;url;volume;year
73;Wlodzimierz Drabent;;;;;;;;;;;https://doi.org/10.1007/BF01185404;;;Acta Inf.;journals/acta/Drabent95;2017-05-28;;;;1;27-29;;;;;What is Failure? An Approach to Constructive Negation.;;;db/journals/acta/acta32.html#Drabent95;32;1995
74;Mark Schäfer|Ralf Wollowski|Victor Khomenko|Walter Vogler;;;;;;;;;;;https://doi.org/10.1007/s00236-009-0102-y;;;Acta Inf.;journals/acta/KhomenkoSVW09;2017-05-28;;;;6;433-474;;;;;STG decomposition strategies in combination with unfolding.;;;db/journals/acta/acta46.html#KhomenkoSVW09;46;2009
75;Jon Louis Bentley|Raphael A. Finkel;;;;;;;;;;;https://doi.org/10.1007/BF00288933|https://www.wikidata.org/entity/Q56340270;;;Acta Inf.;journals/acta/FinkelB74;2018-11-14;;;;;1-9;;;;;Quad Trees: A Data Structure for Retrieval on Composite Keys.;;;db/journals/acta/acta4.html#FinkelB74;4;1974
76;Alfred Schmitt;;;;;;;;;;;https://doi.org/10.1007/BF00265560;;;Acta Inf.;journals/acta/Schmitt83;2017-05-28;;;;;297-304;;;;;On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.;;;db/journals/acta/acta19.html#Schmitt83;19;1983
77;Guy Pujolle|Jacques Labetoulle;;;;;;;;;;;https://doi.org/10.1007/BF00265770;;;Acta Inf.;journals/acta/LabetoulleP76;2017-05-28;;;;;183-195;;;;;A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.;;;db/journals/acta/acta7.html#LabetoulleP76;7;1976
78;Christian Eisentraut|David N. Jansen|Holger Hermanns|Jens Chr. Godskesen|Lei Song 0001|Lijun Zhang 0001|Pengfei Yang;;;;;;;;;;;https://doi.org/10.1007/s00236-018-0313-1;;;Acta Inf.;journals/acta/ZhangYSHEJG18;2018-08-02;;;;6;461-488;;;;;Probabilistic bisimulation for realistic schedulers.;;;db/journals/acta/acta55.html#ZhangYSHEJG18;55;2018
79;Paul Pritchard;;;;;;;;;;;https://doi.org/10.1007/BF00264164;;;Acta Inf.;journals/acta/Pritchard82;2017-05-28;;;;;477-485;;;;;Explaining the Wheel Sieve.;;;db/journals/acta/acta17.html#Pritchard82;17;1982
80;Robert T. Moenck;;;;;;;;;;;https://doi.org/10.1007/BF00268498;;;Acta Inf.;journals/acta/Moenck76;2017-05-28;;;;;153-169;;;;;Another Polynomial Homomorphism.;;;db/journals/acta/acta6.html#Moenck76;6;1976
81;Philip Heidelberger;;;;;;;;;;;https://doi.org/10.1007/BF00288533;;;Acta Inf.;journals/acta/Heidelberger80;2017-05-28;;;;;21-37;;;;;Variance Reduction Techniques for the Simulation of Markov Process.;;;db/journals/acta/acta13.html#Heidelberger80;13;1980
82;Kai Salomaa|Sang-Ki Ko|Yo-Sub Han;;;;;;;;;;;https://doi.org/10.1007/s00236-015-0245-y;;;Acta Inf.;journals/acta/HanKS16;2017-05-28;;;;1;67-85;;;;;State complexity of deletion and bipolar deletion.;;;db/journals/acta/acta53.html#HanKS16;53;2016
